id,negative,positive
1360212627125903367,-1,1
1360203059914227715,-1,1
1360200951110520834,-1,2
1360200385890287619,-1,1
1360200342047252481,-1,1
1360198010051903488,-1,2
1360197649400553477,-1,1
1360195182591963143,-1,1
1360193330185928707,-1,1
1360192479144923141,-1,1
1360187562707603456,-1,1
1360187103913648128,-1,1
1360180116148670465,-1,1
1360179078519750658,-1,1
1360175234742177792,-1,2
1360173976211894274,-1,1
1360173125456060419,-1,1
1360173122373189633,-1,2
1360171641368702976,-1,1
1360149065653190659,-2,1
1359918420263919623,-1,2
1359918027375075334,-2,1
1359916320700129286,-1,2
1359915824845365256,-1,1
1359914048305967108,-1,2
1359913318828417029,-1,1
1359911892656005123,-2,1
1359903427858477057,-1,2
1359899278907424775,-1,2
1359887662715396100,-1,2
1359875806021976072,-1,1
1359875319973502978,-1,1
1359873563847782402,-1,1
1359867725473067011,-1,1
1359866960452980739,-1,1
1359864877393846274,-1,1
1359863334871441410,-1,2
1359863255041204225,-1,1
1359863195356250112,-1,1
1359860337571430400,-1,1
1359850402825568257,-2,2
1359847167305936898,-1,1
1359846366999117831,-1,1
1359844934816313347,-1,1
1359840679409639424,-1,1
1359834364432048128,-1,1
1359817722260054020,-1,1
1359775208735924233,-1,1
1359556762286895104,-1,1
1359543042060021761,-1,1
1359512356385140736,-1,2
1359508724814139395,-1,1
1359507747537043457,-1,1
1359505228526219266,-1,1
1359487772663439364,-1,1
1359487423567306761,-1,1
1359194130786758661,-1,1
1359156122578546705,-1,1
1359118047437611008,-1,1
1359107433310941187,-1,1
1359102992939683841,-2,1
1359102057119113219,-2,1
1359089440459796482,-1,1
1359088660214341632,-1,1
1358799035772137474,-1,1
1358744900863483905,-1,1
1358733041611505666,-1,1
1358729775758651394,-1,1
1358711806777245697,-1,1
1358697028562337794,-2,1
1358473932383346692,-1,3
1358326829392818177,-1,1
1358051377038123010,-1,1
1357994437100601346,-1,1
1357707718673510402,-1,1
1357638017700274176,-1,1
1357618492841852928,-1,1
1357615738622779392,-1,1
1357613841195163650,-1,1
1357611421174026240,-1,1
1357356498905628673,-1,1
1357341355161251846,-1,2
1357332478458023936,-1,1
1357332476620730368,-1,1
1357332473982648322,-1,1
1357332396245278723,-1,1
1357332393456095236,-1,1
1357332391598129158,-1,1
1357332389756874754,-1,1
1357332387944800256,-1,1
1357332384673333251,-1,1
1357332381846372355,-1,1
1357332308823523330,-1,1
1357332302494224387,-1,1
1357288872305192961,-1,1
1357262412869738499,-1,1
1357262400391680001,-1,1
1357250090545594370,-1,1
1357237990117040130,-1,1
1356990865932247046,-1,1
1356985315538440193,-1,1
1356970328132644866,-2,1
1356969534792605696,-1,1
1356962352705507330,-1,1
1356962046101909505,-1,1
1356961758951469057,-1,1
1356960059159425024,-1,1
1356954086550216704,-1,1
1356952833430597633,-1,1
1356952653276868609,-1,1
1356952557067853825,-1,1
1356931852322365444,-1,1
1356927492418916353,-1,1
1356684631916089344,-1,1
1356674300728721416,-1,1
1356671909354762241,-2,1
1356631764190580737,-1,1
1356630408167903235,-1,1
1356629895913369606,-1,1
1356622101969526785,-1,1
1356618238025736192,-1,1
1356615982685577216,-1,1
1356573239317774337,-1,1
1356562088953438214,-1,1
1356556408846704646,-1,1
1356556407294861315,-1,1
1356556405604577282,-1,1
1356556404098818048,-2,1
1356556401724829697,-1,1
1356556400101629954,-1,1
1356556397408886784,-1,1
1356556347505074176,-1,1
1356556287862046721,-1,1
1356556286108786693,-1,1
1356554956673810433,-1,1
1356551030784229381,-1,2
1356276459334033408,-1,1
1356258133103022083,-1,1
1356242541042163715,-1,1
1356240940231520260,-1,1
1355823382621728768,-1,2
1355197278919798785,-1,1
1355175025255591936,-1,1
1355170045878562816,-1,1
1355162674737385472,-1,1
1355157683880517638,-1,1
1355154570717110273,-1,1
1355148039451766790,-2,1
1355139352070860800,-1,1
1355135543949086722,-1,1
1355130508066357254,-1,1
1355101505683128324,-1,1
1355078666670272520,-1,1
1355075038483984385,-1,1
1355065750260764673,-1,1
1354818420194242566,-2,1
1354814146806599684,-1,2
1354805434465488896,-1,1
1354797939579871232,-1,1
1354797937402888192,-1,1
1354797934945185794,-2,1
1354797932319436803,-1,1
1354797854154342406,-1,1
1354797805399752712,-1,1
1354797728136486912,-1,1
1354797725947031558,-1,1
1354797723137015810,-1,1
1354797719408140289,-1,1
1354797717159956484,-1,1
1354793392153223170,-1,1
1354753035382231054,-1,1
1354739627257638916,-1,1
1354739622891417602,-1,1
1354729428371337216,-1,2
1354725549529292800,-1,1
1354725545850904579,-1,1
1354717943737815041,-1,1
1354706763245903874,-1,1
1354690629566083072,-1,2
1354435596073234434,-1,1
1354435132736872449,-1,1
1354418671788154880,-1,1
1354408288402567175,-1,1
1354358225118900224,-1,2
1354346737419345920,-1,1
1354084985750302723,-1,1
1354027425282322432,-2,1
1354024698913443840,-1,1
1354024602280849410,-1,1
1354024459414499330,-1,1
1354019104345231360,-1,2
1354016509400645639,-1,1
1354015742879031296,-1,1
1353994580690087936,-1,1
1353993636518780928,-1,1
1353992694863962112,-1,2
1353982760164192257,-1,1
1353980355284512768,-3,1
1353980270744117252,-1,1
1353964667337666560,-1,1
1353964396947636230,-1,1
1353704860307361794,-1,1
1353703847806558211,-1,1
1353696143843143681,-1,1
1353695681580589063,-1,1
1353692070104494080,-1,1
1353691936377499650,-1,1
1353691865913155584,-1,1
1353685775758589952,-1,1
1353683528882528256,-1,1
1353673439962345474,-1,1
1353668524212944896,-1,1
1353657090984849410,-1,1
1353656721370132481,-1,1
1353655483190677504,-1,1
1353653749995216897,-2,1
1353642792447340546,-1,1
1353625894301085696,-3,2
1353334356090249218,-1,1
1352658975251181569,-1,1
1352656618530484227,-1,1
1352651364736839682,-1,1
1352640307230347266,-1,1
1352638252767997952,-1,1
1352622948583137280,-1,1
1352614571874390017,-1,1
1352566362858774528,-1,1
1352565765191446528,-1,1
1352549107295006726,-1,1
1352521949537296384,-1,1
1352357884571607042,-1,1
1352306959282823169,-1,1
1352306957772795904,-1,1
1352282060388503554,-1,1
1352270032865284096,-1,1
1352267694666637317,-1,1
1352227608470179841,-1,1
1352226162110590981,-1,1
1352225430615584769,-1,1
1352222236216844289,-1,1
1352221909753212928,-1,1
1352220600480239616,-1,1
1352216781256073217,-1,1
1352185278614691841,-1,1
1352179784969822209,-1,1
1352160512478470145,-1,1
1351911354098196480,-1,1
1351909919713357836,-1,1
1351905416251322369,-1,1
1351901231422300160,-1,1
1351899232475738112,-1,1
1351898064269807617,-1,2
